[epoch 250]train-acc:0.4853 train-loss:1.42  test-acc:0.1714 test-loss:3.51
[epoch 251]train-acc:0.4932 train-loss:1.41  test-acc:0.1538 test-loss:3.69
[epoch 252]train-acc:0.4902 train-loss:1.41  test-acc:0.3625 test-loss:2.08
[epoch 253]train-acc:0.4909 train-loss:1.41  test-acc:0.1517 test-loss:4.5
[epoch 254]train-acc:0.4932 train-loss:1.41  test-acc:0.2435 test-loss:3.27
[epoch 255]train-acc:0.4946 train-loss:1.41  test-acc:0.3821 test-loss:1.87
[epoch 256]train-acc:0.4921 train-loss:1.41  test-acc:0.3953 test-loss:1.85
[epoch 257]train-acc:0.493 train-loss:1.41  test-acc:0.1892 test-loss:3.1
[epoch 258]train-acc:0.4938 train-loss:1.41  test-acc:0.3512 test-loss:1.87
[epoch 259]train-acc:0.4908 train-loss:1.43  test-acc:0.2758 test-loss:3.92
[epoch 260]train-acc:0.4906 train-loss:1.43  test-acc:0.208 test-loss:2.82
[epoch 261]train-acc:0.4873 train-loss:1.43  test-acc:0.234 test-loss:2.94
[epoch 262]train-acc:0.4815 train-loss:1.44  test-acc:0.1575 test-loss:4.04
[epoch 263]train-acc:0.4841 train-loss:1.43  test-acc:0.2571 test-loss:2.31
[epoch 264]train-acc:0.4869 train-loss:1.43  test-acc:0.2318 test-loss:3.28
[epoch 265]train-acc:0.4908 train-loss:1.42  test-acc:0.2211 test-loss:4.3
[epoch 266]train-acc:0.4868 train-loss:1.43  test-acc:0.186 test-loss:5.49
[epoch 267]train-acc:0.4908 train-loss:1.42  test-acc:0.2133 test-loss:2.68
[epoch 268]train-acc:0.4844 train-loss:1.43  test-acc:0.2138 test-loss:3.9
[epoch 269]train-acc:0.4886 train-loss:1.43  test-acc:0.1349 test-loss:4.62
[epoch 270]train-acc:0.4882 train-loss:1.42  test-acc:0.2558 test-loss:2.39
[epoch 271]train-acc:0.4895 train-loss:1.42  test-acc:0.2201 test-loss:2.72
[epoch 272]train-acc:0.472 train-loss:1.46  test-acc:0.1329 test-loss:4.26
[epoch 273]train-acc:0.45 train-loss:1.52  test-acc:0.2376 test-loss:3.62
[epoch 274]train-acc:0.452 train-loss:1.51  test-acc:0.1263 test-loss:4.94
[epoch 275]train-acc:0.4517 train-loss:1.52  test-acc:0.1839 test-loss:4.33
[epoch 276]train-acc:0.4551 train-loss:1.5  test-acc:0.1028 test-loss:3.97
[epoch 277]train-acc:0.4569 train-loss:1.5  test-acc:0.1913 test-loss:4.54
[epoch 278]train-acc:0.4609 train-loss:1.49  test-acc:0.1615 test-loss:4.25
[epoch 279]train-acc:0.4642 train-loss:1.48  test-acc:0.182 test-loss:3.01
[epoch 280]train-acc:0.4916 train-loss:1.42  test-acc:0.2237 test-loss:3.73
[epoch 281]train-acc:0.4895 train-loss:1.42  test-acc:0.1589 test-loss:3.76
[epoch 282]train-acc:0.4926 train-loss:1.42  test-acc:0.2304 test-loss:2.55
[epoch 283]train-acc:0.49 train-loss:1.42  test-acc:0.1579 test-loss:7.25
[epoch 284]train-acc:0.491 train-loss:1.42  test-acc:0.2471 test-loss:2.64
[epoch 285]train-acc:0.4924 train-loss:1.43  test-acc:0.3303 test-loss:2.16
[epoch 286]train-acc:0.4877 train-loss:1.42  test-acc:0.1144 test-loss:4.45
[epoch 287]train-acc:0.4937 train-loss:1.42  test-acc:0.2009 test-loss:4.18
[epoch 288]train-acc:0.4959 train-loss:1.41  test-acc:0.1312 test-loss:7.12
[epoch 289]train-acc:0.4971 train-loss:1.4  test-acc:0.1551 test-loss:3.3
[epoch 290]train-acc:0.4995 train-loss:1.4  test-acc:0.2967 test-loss:3.04
[epoch 291]train-acc:0.4982 train-loss:1.4  test-acc:0.2298 test-loss:2.71
[epoch 292]train-acc:0.4994 train-loss:1.4  test-acc:0.2411 test-loss:3.04
[epoch 293]train-acc:0.4979 train-loss:1.4  test-acc:0.3234 test-loss:2.29
[epoch 294]train-acc:0.4979 train-loss:1.4  test-acc:0.206 test-loss:4.18
[epoch 295]train-acc:0.5008 train-loss:1.4  test-acc:0.2678 test-loss:2.41
[epoch 296]train-acc:0.4931 train-loss:1.41  test-acc:0.2861 test-loss:2.07
[epoch 297]train-acc:0.4934 train-loss:1.41  test-acc:0.1457 test-loss:4.11
[epoch 298]train-acc:0.4947 train-loss:1.41  test-acc:0.1627 test-loss:4.35
[epoch 299]train-acc:0.4961 train-loss:1.4  test-acc:0.237 test-loss:2.14
[epoch 300]train-acc:0.491 train-loss:1.42  test-acc:0.1885 test-loss:4.61
[epoch 301]train-acc:0.4854 train-loss:1.43  test-acc:0.2044 test-loss:4.19
[epoch 302]train-acc:0.4876 train-loss:1.43  test-acc:0.2013 test-loss:2.87
[epoch 303]train-acc:0.4911 train-loss:1.42  test-acc:0.1747 test-loss:4.14
